feature,importance
prior_vorp,0.12871759
prior_bpm,0.096773
roll15_pts_pg,0.08913043
roll40_pts_pg,0.074244216
pts_pg,0.06391901
stl_pg,0.055843987
ts_pct,0.037943657
roll40_stl_pg,0.028016223
roll40_ts_pct,0.025450181
plus_minus_pg,0.022437133
roll40_plus_minus_pg,0.021901874
roll15_stl_pg,0.021442482
roll40_plus_minus_per_36,0.019137345
plus_minus_per_36,0.016781557
roll15_reb_pg,0.015841495
roll40_blk_pg,0.015451062
roll40_ast_pg,0.01389352
blk_pg,0.013195744
roll15_ast_pg,0.013165253
roll40_reb_pg,0.010517803
roll40_tov_per_36,0.010455202
roll15_ast_per_36,0.009899464
roll15_blk_pg,0.009115239
roll40_pts_per_36,0.00893906
reb_pg,0.008811814
ast_per_36,0.008677444
roll40_ast_per_36,0.008442536
ast_pg,0.00812413
blk_per_36,0.008013719
roll15_games,0.006767385
stl_per_36,0.006443979
roll15_pts_per_36,0.0061516548
tov_per_36,0.0061307615
roll40_reb_per_36,0.0059414464
reb_per_36,0.005536616
roll15_fg3_pct,0.0054813917
roll40_blk_per_36,0.0052609514
pts_per_36,0.005192278
milestone_n,0.0049182135
roll40_games,0.004649053
roll40_fg3_pct,0.004417857
roll15_ts_pct,0.004158926
fg3_pct,0.0040755854
roll40_stl_per_36,0.003930309
roll15_tov_per_36,0.0038808777
prior_ws_per_48,0.0038256145
roll15_blk_per_36,0.0037905585
roll15_reb_per_36,0.0035707762
prior_ws,0.0035200238
minutes_pg,0.0033502283
prior_games_played,0.0029903194
tov_pg,0.0028582106
fg_pct,0.0027358448
roll15_plus_minus_pg,0.0027223849
ft_pct,0.002463597
roll15_stl_per_36,0.0024144945
roll40_minutes_pg,0.002388525
roll40_tov_pg,0.0023877325
roll40_fg_pct,0.0023877034
roll40_ft_pct,0.0022578216
roll15_plus_minus_per_36,0.0020794093
roll15_minutes_pg,0.001946494
roll15_tov_pg,0.0018510541
roll15_fg_pct,0.00165128
roll15_ft_pct,0.0015884422
