bref_id,season,salary,espn_name,match_method,match_confidence
o/onealsh01,1999-00,17142000,Shaquille O'Neal,exact_normalized,0.99
g/garneke01,1999-00,16806000,Kevin Garnett,exact_normalized,0.99
m/mournal01,1999-00,15004000,Alonzo Mourning,exact_normalized,0.99
h/howarju01,1999-00,15000000,Juwan Howard,exact_normalized,0.99
p/pippesc01,1999-00,14795000,Scottie Pippen,exact_normalized,0.99
m/malonka01,1999-00,14000000,Karl Malone,exact_normalized,0.99
w/wallara01,1999-00,10800000,Rasheed Wallace,exact_normalized,0.99
k/kempsh01,1999-00,10780000,Shawn Kemp,exact_normalized,0.99
s/stoudda01,1999-00,10125000,Damon Stoudamire,exact_normalized,0.99
m/mcdyean01,1999-00,9900000,Antonio McDyess,exact_normalized,0.99
w/walkean02,1999-00,9000000,Antoine Walker,exact_normalized,0.99
a/abdursh01,1999-00,9000000,Shareef Abdur-Rahim,exact_normalized,0.99
i/iversal01,1999-00,9000000,Allen Iverson,exact_normalized,0.99
b/bakervi01,1999-00,9000000,Vin Baker,exact_normalized,0.99
h/hardaan01,1999-00,9000000,Anfernee Hardaway,exact_normalized,0.99
a/allenra02,1999-00,9000000,Ray Allen,exact_normalized,0.99
b/bryanko01,1999-00,9000000,Kobe Bryant,exact_normalized,0.99
m/marbust01,1999-00,9000000,Stephon Marbury,exact_normalized,0.99
d/divacvl01,1999-00,8837000,Vlade Divac,exact_normalized,0.99
r/reevebr01,1999-00,8666000,Bryant Reeves,exact_normalized,0.99
g/guglito01,1999-00,8558000,Tom Gugliotta,exact_normalized,0.99
v/vanexni01,1999-00,8354000,Nick Van Exel,exact_normalized,0.99
c/campbel01,1999-00,7975000,Elden Campbell,exact_normalized,0.99
b/brandte01,1999-00,7400000,Terrell Brandon,exact_normalized,0.99
c/colemde01,1999-00,7370000,Derrick Coleman,exact_normalized,0.99
k/kittlke01,1999-00,7166000,Kerry Kittles,exact_normalized,0.99
d/dudlech02,1999-00,7100000,Chris Dudley,exact_normalized,0.99
r/ratlith01,1999-00,7031000,Theo Ratliff,exact_normalized,0.99
g/geigema01,1999-00,6889000,Matt Geiger,exact_normalized,0.99
k/kiddja01,1999-00,6858000,Jason Kidd,exact_normalized,0.99
a/anderke01,1999-00,6680000,Kenny Anderson,exact_normalized,0.99
h/hillty01,1999-00,6422000,Tyrone Hill,exact_normalized,0.99
r/robincl02,1999-00,6125000,Clifford Robinson,exact_normalized,0.99
m/mashbja01,1999-00,5600000,Jamal Mashburn,exact_normalized,0.99
n/nashst01,1999-00,5500000,Steve Nash,exact_normalized,0.99
h/hendeal01,1999-00,5318000,Alan Henderson,exact_normalized,0.99
m/marshdo01,1999-00,5250000,Donyell Marshall,exact_normalized,0.99
c/cambyma01,1999-00,5250000,Marcus Camby,exact_normalized,0.99
o/ostergr01,1999-00,5200000,Greg Ostertag,exact_normalized,0.99
l/longllu01,1999-00,5175000,Luc Longley,exact_normalized,0.99
b/brownpj01,1999-00,5124000,P.J. Brown,exact_normalized,0.99
o/onealje01,1999-00,5075000,Jermaine O'Neal,exact_normalized,0.99
d/dampier01,1999-00,4988000,Erick Dampier,exact_normalized,0.99
p/persowe01,1999-00,4900000,Wesley Person,exact_normalized,0.99
v/vaughlo01,1999-00,4810000,Loy Vaught,exact_normalized,0.99
h/horryro01,1999-00,4800000,Robert Horry,exact_normalized,0.99
m/mckeyde01,1999-00,4800000,Derrick McKey,exact_normalized,0.99
m/mcilvji01,1999-00,4800000,Jim Mcilvaine,exact_normalized,0.99
s/stackje01,1999-00,4781000,Jerry Stackhouse,exact_normalized,0.99
w/wardch01,1999-00,4540000,Charlie Ward,exact_normalized,0.99
d/davisda01,1999-00,4490000,Dale Davis,exact_normalized,0.99
w/wrighlo02,1999-00,4400000,Lorenzen Wright,exact_normalized,0.99
b/blaylmo01,1999-00,4200000,Mookie Blaylock,exact_normalized,0.99
m/millsch01,1999-00,4200000,Chris Mills,exact_normalized,0.99
c/childch01,1999-00,4160000,Chris Childs,exact_normalized,0.99
a/armstda01,1999-00,4125000,Darrell Armstrong,exact_normalized,0.99
r/russebr01,1999-00,4000000,Bryon Russell,exact_normalized,0.99
b/barrybr01,1999-00,3960000,Brent Barry,exact_normalized,0.99
c/caffeja01,1999-00,3937000,Jason Caffey,exact_normalized,0.99
p/potapvi01,1999-00,3810000,Vitaly Potapenko,exact_normalized,0.99
s/surabo01,1999-00,3760000,Bob Sura,exact_normalized,0.99
w/williwa02,1999-00,3750000,Walt Williams,exact_normalized,0.99
w/willisc01,1999-00,3750000,Scott Williams,exact_normalized,0.99
c/cassesa01,1999-00,3500000,Sam Cassell,exact_normalized,0.99
o/olowomi01,1999-00,3456000,Michael Olowokandi,exact_normalized,0.99
b/brandel01,1999-00,3375000,Elton Brand,exact_normalized,0.99
w/willier01,1999-00,3336000,Eric Williams,exact_normalized,0.99
